"ConceptCode","ActiveConcept_Flag","Skip_Flag","Bypass_Flag","Novel_Flag","Update_Flag","UpdateReason","ReviewDate","Antineoplastic_Flag","Immuno_Flag","DrugCategory","PreferredName","DisplayName","FirstSynonym","Definition","Modulator"
"C1014",-1,0,0,0,0,,11/9/2018 0:00:00,0,0,"Other","Verteporfin","Verteporfin","Verteporfin","A synthetic light-activated agent with photodynamic activity. Upon systemic administration, verteporfin accumulates in neovessels in the eye and, once stimulated by nonthermal red light in the presence of oxygen, produces highly reactive short-lived singlet oxygen and other reactive oxygen radicals, resulting in local damage to neovascular endothelium and blood vessel occlusion. (NCI04)",
"C101421",-1,0,0,0,0,,8/20/2019 0:00:00,0,0,"Other","Probable ATP-Dependent RNA Helicase DDX58","Probable ATP-Dependent RNA Helicase DDX58","Probable ATP-Dependent RNA Helicase DDX58","Probable ATP-dependent RNA helicase DDX58 (925 aa, ~107 kDa) is encoded by the human DDX58 gene. This protein plays a role in the regulation of viral defense.",
"C101513",-1,0,0,0,0,,4/11/2019 0:00:00,0,0,"Other","Transarterial Chemoembolization","Transarterial Chemoembolization",,"A hepatic artery embolization technique involving the injection of a blocking agent and a chemotherapy agent to treat liver cancers.",
"C101519",-1,0,0,0,-1,"Definition | DisplayName | FirstSynonym | FirstSynonym changed | Definition changed | DisplayName changed | New Synonyms found | New synonym Edicotinib, EDICOTINIB has higher priority than current preferred synonym",11/8/2018 0:00:00,-1,0,"Immunomodulatory Immunotherapy","JNJ-40346527","JNJ-40346527","Edicotinib","A small molecule and orally available inhibitor of colony-stimulating factor-1 receptor (CSF1R; FMS) with potential antineoplastic activity. Edicotinib blocks the receptor-ligand interaction between FMS and its ligand CSF1, thereby preventing autophosphorylation of FMS. As a result, unphosphorylated FMS can not activate FMS-mediated signaling pathways, thus potentially inhibiting cell proliferation in FMS-overexpressed tumor cells. FMS, a tyrosine kinase receptor, is overexpressed in certain tumor cell types and plays an essential role in macrophage differentiation, recruitment, and activation as well as the regulation of cell proliferation.",
"C101520",-1,0,0,0,0,,11/9/2018 0:00:00,-1,0,"Targeted Therapy","AKN-028","AKN-028","FLT3/KIT Kinase Inhibitor AKN-028","An orally bioavailable protein tyrosine kinase inhibitor for FMS-related tyrosine kinase 3 (FLT3; STK1) and stem cell factor receptor (SCFR; KIT), with potential antineoplastic activity. FLT3/KIT kinase inhibitor AKN-028 binds to and inhibits both the wild-type and mutated forms of FLT3 and SCFR. This may result in an inhibition of tumor cell proliferation in cancer cell types that overexpress these receptor tyrosine kinases.","Antagonist"
"C101523",-1,0,0,0,0,,11/9/2018 0:00:00,-1,0,"Other","TH-4000","TH-4000","Hypoxia-activated Prodrug TH-4000","A proprietary, hypoxia-activated prodrug with potential antineoplastic activity. Upon administration, the hypoxia-activated prodrug TH-4000 is activated in the hypoxic cells within tumors into an irreversible pan-HER inhibitor via a mechanism of action not yet fully elucidated. As a result, this agent inhibits cellular proliferation and differentiation of tumor cells overexpressing HER kinases, which belong to the epidermal growth factor receptor (EGFR) family of receptor tyrosine kinases. Healthy, normal tissues may be spared due to the hypoxia-specific activity of this agent, potentially reducing systemic toxicity.",
"C101532",-1,0,0,0,0,,11/9/2018 0:00:00,-1,0,"Targeted Therapy","WX-554","WX-554","MEK Inhibitor WX-554","An orally available small molecule mitogen-activated protein kinase kinase (MAP2K, MAPK/ERK kinase, or MEK) inhibitor, with potential antineoplastic activity. MEK inhibitor WX-554 selectively binds to and inhibits the activity of MEK, thereby preventing the activation of MEK-dependent effector proteins including some transcription factors, which may result in the inhibition of growth factor-mediated cell signaling and tumor cell proliferation. MEK, a dual-specificity threonine/tyrosine kinase that plays a key role in the activation of the RAS/RAF/MEK/ERK signaling pathway, is frequently upregulated in a variety of tumor cell types.","Antagonist"
"C101538",-1,0,0,0,0,,12/18/2018 0:00:00,0,0,"Targeted Therapy","Molibresib","Molibresib","Molibresib","A small molecule inhibitor of the BET (Bromodomain and Extra-Terminal) family of bromodomain-containing proteins with potential antineoplastic activity. Upon administration, molibresib binds to the acetylated lysine recognition motifs on the bromodomain of BET proteins, thereby preventing the interaction between the BET proteins and acetylated histone peptides. This disrupts chromatin remodeling and gene expression. Prevention of the expression of certain growth-promoting genes may lead to an inhibition of tumor cell growth. Characterized by a tandem repeat of bromodomain at the N-terminus, BET proteins, comprising of BRD2, BRD3, BRD4 and BRDT, are transcriptional regulators that play an important role during development and cellular growth.",
"C101579",-1,0,0,0,0,,8/20/2019 0:00:00,0,0,"Other","C-C Chemokine Receptor Type 2","C-C Chemokine Receptor Type 2","C-C Chemokine Receptor Type 2","C-C chemokine receptor type 2 (374 aa, ~42 kDa) is encoded by the human CCR2 gene. This protein plays a role in both cytokine binding and receptor signaling.",
"C101625",-1,0,0,0,0,,8/20/2019 0:00:00,0,0,"Other","High Affinity Immunoglobulin Epsilon Receptor Subunit Beta","High Affinity Immunoglobulin Epsilon Receptor Subunit Beta","High Affinity Immunoglobulin Epsilon Receptor Subunit Beta","High affinity immunoglobulin epsilon receptor subunit beta (244 aa, ~27 kDa) is encoded by the human MS4A2 gene. This protein is involved in the response to allergens.",
"C101786",-1,0,-1,0,0,,11/9/2018 0:00:00,-1,0,"Targeted Therapy","AT13148","AT13148","Multi-AGC Kinase Inhibitor AT13148","An orally available, small molecule inhibitor of AGC group kinases, with potential antineoplastic activity. AT13148 inhibits, in an ATP-competitive manner, the enzymatic activity of two AGC kinases, protein kinase B (PKB or AKT) and p70S6K which play key roles in the PI3K/PKB/mTOR signaling pathway. Blockade of this pathway leads to an inhibition of cell growth and the induction of apoptosis in susceptible tumor cells. PI3K/PKB/mTOR pathway is dysregulated in greater than 50% of tumors, and is often correlated with resistance and increased tumor survival. AGC group kinases are serine/threonine kinases that are regulated by secondary messengers such as cyclic AMP and lipids.",
"C101787",-1,0,-1,0,0,,11/8/2018 0:00:00,-1,0,"Other","TIL 1383I T Cell Receptor-Transduced Autologous T Cells","TIL 1383I T Cell Receptor-Transduced Autologous T Cells","TIL 1383I T Cell Receptor-Transduced Autologous T Cells","Autologous peripheral blood lymphocytes-derived T cells transduced with a retroviral encoding TIL 1383I, a T cell receptor (TCR) specific for melanoma antigen tyrosinase, with potential immunostimulating and antineoplastic activity. After transduction, expansion in culture, and reintroduction into the patient, TIL 1383I TCR-transduced autologous T cells bind to tumor cells expressing tyrosinase, which may induce cytokine expression, activation and proliferation of T-cells, and a specific cytotoxic T-lymphocyte (CTL) response against tyrosinase-expressing tumor cells. TIL 1383I TCR originated from a melanoma patient's CD4+ tumor-infiltrating lymphocytes and is reactive against a class I MHC (HLA-A2)-restricted epitope (368-376) of tyrosinase.","Antagonist"
"C101790",-1,0,0,0,0,,11/8/2018 0:00:00,-1,0,"Targeted Therapy","Alectinib","Alectinib","Alectinib","An orally available inhibitor of the receptor tyrosine kinase anaplastic lymphoma kinase (ALK) with antineoplastic activity. Upon administration, alectinib binds to and inhibits ALK kinase, ALK fusion proteins as well as the gatekeeper mutation ALKL1196M",
"C101791",-1,0,0,0,0,,11/9/2018 0:00:00,-1,0,"Targeted Therapy","Olmutinib","Olmutinib","Olmutinib","An orally available small molecule, mutant-selective inhibitor of epidermal growth factor receptor (EGFR) with potential antineoplastic activity. Olmutinib binds to and inhibits mutant forms of EGFR, thereby leading to cell death of EGFR-expressing tumor cells. As this agent is selective towards mutant forms of EGFR, its toxicity profile may be reduced as compared to non-selective EGFR inhibitors which also inhibit the EGFR wild type form.",
"C101890",-1,0,0,0,0,,11/8/2018 0:00:00,0,0,"Other","Epidermal Growth Factor Ointment","Epidermal Growth Factor Ointment","Epidermal Growth Factor Ointment","A topical ointment containing a recombinant form of human epidermal growth factor (EGF) with potential protective activity against EGF receptor (EGFR/HER1) inhibitor-induced cutaneous toxicities. Upon topical application of the EGF ointment, EGF locally activates EGFR, thereby abrogating EGFR inhibition in the skin caused by systemic EGFR inhibiting agents. This may help inhibit the skin rash induced by EGFR antagonists. EGFR, a tyrosine kinase, plays a key role in maintaining epidermal integrity.","Agonist"
"C101895",-1,0,-1,0,0,,11/9/2018 0:00:00,-1,0,"Targeted Therapy","Elgemtumab","Elgemtumab","Elgemtumab","A human monoclonal antibody directed against the human epidermal growth factor receptor HER3 (ErbB3) with potential antineoplastic activity. Elgemtumab binds to and locks HER3 in the inactive conformation and does not interfere with its interaction with neuregulin (NRG). The inactivated form of HER3 blocks the PI3K/Akt signaling pathway, thereby inhibiting cellular proliferation in HER2 or NRG expressing tumor cells. HER3, a member of the epidermal growth factor receptor (EGFR) family of receptor tyrosine kinases, is frequently overexpressed in tumors; it has no active kinase domain but is activated through heterodimerization with other members of the EGFR receptor family, such as HER2.",
"C102485",-1,0,0,0,0,,8/20/2019 0:00:00,0,0,"Other","Peptidyl-Prolyl Cis-Trans Isomerase FKBP1A","Peptidyl-Prolyl Cis-Trans Isomerase FKBP1A","Peptidyl-Prolyl Cis-Trans Isomerase FKBP1A","Peptidyl-prolyl cis-trans isomerase FKBP1A (108 aa, ~12 kDa) is encoded by the human FKBP1A gene. This protein is involved in both protein folding and the modulation of TGF-beta signaling.",
"C102535",-1,0,0,0,0,,11/9/2018 0:00:00,-1,0,"Targeted Therapy","AV-203","AV-203","Anti-ErbB3 Monoclonal Antibody AV-203","A humanized monoclonal antibody (MoAb) directed against the human receptor tyrosine-protein kinase ErbB-3 (HER3) with potential antineoplastic activity. Anti-ErbB3 MoAb AV-203 binds to and inhibits both ligand neuregulin-1 (NRG-1)-dependent and ligand-independent ErbB3 activation, which may result in inhibition of ErbB3-dependent PI3K/Akt signaling and may lead to inhibition of cellular proliferation and differentiation. ErbB3, a member of the epidermal growth factor receptor (EGFR) family, is frequently overexpressed in solid tumors and its overexpression generally correlates with poor prognosis and tumor resistance; it has no active kinase domain itself but is activated through heterodimerization with other members of the EGFR receptor family that do.","Antagonist"
"C102546",-1,0,0,0,0,,11/8/2018 0:00:00,-1,0,"Targeted Therapy","Selinexor","Selinexor","Selinexor","An orally available, small molecule inhibitor of CRM1 (chromosome region maintenance 1 protein, exportin 1 or XPO1), with potential antineoplastic activity. Selinexor modifies the essential CRM1-cargo binding residue cysteine-528, thereby irreversibly ina",
"C102554",-1,0,0,0,0,,11/8/2018 0:00:00,-1,0,"Chemotherapy","TAS-102","TAS-102","Trifluridine and Tipiracil Hydrochloride","An orally bioavailable combination agent composed of the cytotoxic pyrimidine analog trifluridine (5-trifluoro-2'-deoxythymidine or TFT) and a thymidine phosphorylase inhibitor (TPI) tipiracil hydrochloride, in a molar ratio of 1.0:0.5 (TFT:TPI), with pot",
"C102564",-1,0,0,0,0,,11/8/2018 0:00:00,-1,0,"Targeted Therapy","Capivasertib","Capivasertib","Capivasertib","A novel pyrrolopyrimidine derivative, and an orally available inhibitor of the serine/threonine protein kinase AKT (protein kinase B) with potential antineoplastic activity. Capivasertib binds to and inhibits all AKT isoforms. Inhibition of AKT prevents t",
"C102566",-1,0,0,0,0,,11/8/2018 0:00:00,-1,0,"Other","Mirvetuximab Soravtansine","Mirvetuximab Soravtansine","Mirvetuximab Soravtansine","An immunoconjugate consisting of the humanized monoclonal antibody M9346A against folate receptor 1 (FOLR1) conjugated, via the disulfide-containing cleavable linker sulfo-SPDB, to the cytotoxic maytansinoid DM4, with potential antineoplastic activity. Th",
"C102569",-1,0,0,0,0,,11/8/2018 0:00:00,-1,0,"Other","sEphB4-HSA","sEphB4-HSA","Recombinant EphB4-HSA Fusion Protein","A recombinant fusion protein composed of the full-length extracellular domain (soluble) of human receptor tyrosine kinase ephrin type-B receptor 4 (sEphB4) and fused, at its C-terminus, to full-length human serum albumin (HSA), with potential antineoplast",
"C102571",-1,0,0,0,0,,11/9/2018 0:00:00,0,0,"Other","Epoetin Zeta","Epoetin Zeta","Epoetin Zeta","A recombinant form of the endogenous human cytokine erythropoietin (EPO) with erythropoiesis-stimulating activity. Similar to EPO, epoetin zeta binds to and activates erythropoietin receptors on the surface of committed erythroid progenitors in the bone marrow resulting in their proliferation and differentiation into functional erythrocytes. This may enhance red blood cell counts and hemoglobin levels. Epoetin zeta differs from other epoetins in its glycosylation profile. EPO is a glycosylated polypeptide primarily produced by renal peritubular cells and its synthesis is regulated by a serum oxygenation feedback mechanism.",
"C1027",-1,0,0,0,0,,11/8/2018 0:00:00,0,0,"Other","Budesonide","Budesonide","Budesonide","A drug used in the treatment of asthma and rhinitis. It is also being studied in the treatment of cancer. Budesonide belongs to the family of drugs called steroids.",
"C102746",-1,0,-1,0,0,,11/9/2018 0:00:00,-1,0,"Targeted Therapy","E7449","E7449","PARP 1/2 Inhibitor E7449","An orally available small molecule inhibitor of the nuclear enzymes poly (ADP-ribose) polymerase (PARP) 1 and 2, with potential antineoplastic activity. Upon administration, E7449 selectively binds to PARP 1 and 2, thereby preventing the repair of damaged DNA via the base excision repair (BER) pathway. This agent enhances the accumulation of single and double strand DNA breaks and promotes genomic instability eventually leading to apoptosis. PARP 1/2 inhibitor E7449 may enhance the cytotoxicity of DNA-damaging agents and of radiotherapy. PARP catalyzes post-translational ADP-ribosylation of nuclear proteins that signal and recruit other proteins to repair damaged DNA.",
"C102748",-1,0,0,0,-1,"Existing unreviewed code",,-1,0,"Other","Vaccinium myrtillus/Macleaya cordata/Echinacea angustifolia Extract Granules","Vaccinium myrtillus/Macleaya cordata/Echinacea angustifolia Extract Granules","Vaccinium myrtillus/Macleaya cordata/Echinacea angustifolia Extract Granules","A proprietary suspension formulation prepared from granules of standardized extracts from the fruits of Vaccinium myrtillus, the aerial parts of Macleaya cordata and the roots of Echinacea angustifolia, with potential anti-mucositis, anti-inflammatory, and analgesic activities. The main active ingredients of this formulation include anthocyanosides and procyanidins, benzophenanthridinic alkaloids, and alkylamides from V. myrtillus, M. cordata and E. angustifolia extracts, respectively. Upon administration in the mucosal cavity, the anthocyanosides scavenge free radicals, form a protective barrier on the mucosa, and protect the integrity of the capillary vessels; the benzophenanthridine alkaloids prevent the production of pro-inflammatory cytokines by inhibiting NF-kB and may halt the growth of microorganisms; the alkylamides inhibit cyclooxygenase and 5-lipoxygenase thereby blocking productions of prostaglandin and leukotriene. Furthermore, alkylamides modulate the expression of tumor necrosis factor alpha and other cytokines involved in inflammation processes through cannabinoid type 2 receptors and as cannabinomimetics they may also exert analgesic activity.",
"C102751",-1,0,0,0,0,,11/8/2018 0:00:00,-1,0,"Other","WT2725","WT2725","WT1 Peptide Vaccine WT2725","A peptide cancer vaccine comprised of a peptide derived from Wilms tumor gene 1 (WT1) protein, with potential immunomodulating and antineoplastic activities. Upon administration, WT2725 may induce a specific cytotoxic T-lymphocyte (CTL) response against WT1-overexpressing tumor cells. WT1 protein, a zinc finger DNA-binding protein, is overexpressed in leukemic cells and in a vast number of non-hematological solid tumors.","cytotoxic T-lymphocyte (CTL) response"
"C102754",-1,0,0,0,0,,11/8/2018 0:00:00,-1,0,"Targeted Therapy","Ensartinib","Ensartinib","Ensartinib","An orally available small molecule inhibitor of the receptor tyrosine kinase anaplastic lymphoma kinase (ALK) with potential antineoplastic activity. Upon oral administration, ensartinib binds to and inhibits ALK kinase, ALK fusion proteins and ALK point",
"C102758",-1,0,-1,0,0,,11/8/2018 0:00:00,-1,0,"Other","CD19CAR-CD3zeta-4-1BB-expressing Autologous T-lymphocytes","CD19CAR-CD3zeta-4-1BB-expressing Autologous T-lymphocytes","CD19CAR-CD3zeta-4-1BB-expressing Autologous T-lymphocytes","Autologous T-lymphocytes transduced with a modified lentiviral vector expressing a chimeric antigen receptor (CAR) consisting of an anti-CD19 scFv (single chain variable fragment) and the zeta chain of the TCR/CD3 complex (CD3-zeta), coupled to the signaling domain of 4-1BB (CD137), with potential immunomodulating and antineoplastic activities. Upon transfusion, CD19CAR-CD3zeta-4-1BB-expressing autologous T-lymphocytes direct the T-lymphocytes to CD19-expressing tumor cells, thereby inducing a selective toxicity in CD19-expressing tumor cells. The 4-1BB co-stimulatory molecule signaling domain enhances activation and signaling after recognition of CD19 and the inclusion of this signaling domain may increase the antitumor activity compared to the inclusion of the CD3-zeta chain alone. CD19 antigen is a B-cell specific cell surface antigen expressed in all B-cell lineage malignancies. CD3-zeta (or CD247) is a transmembrane signaling adaptor polypeptide that regulates the assembly of complete TCR complexes and their expression on the cell surface.","Antagonist"
"C102783",-1,0,0,0,0,,2/28/2019 0:00:00,0,0,"Targeted Therapy","Sacituzumab Govitecan","Sacituzumab Govitecan",,"An antibody drug conjugate containing the humanized monoclonal antibody, hRS7, against tumor-associated calcium signal transducer 2 (TACSTD2 or TROP2) and linked to the active metabolite of irinotecan, 7-ethyl-10-hydroxycamptothecin (SN-38), with potential antineoplastic activity. The antibody moiety of sacituzumab govitecan selectively binds to TROP2. After internalization and proteolytic cleavage, SN-38 selectively stabilizes topoisomerase I-DNA covalent complexes, resulting in DNA breaks that inhibit DNA replication and trigger apoptosis. TROP2, also known as epithelial glycoprotein-1 (EGP-1), is a transmembrane calcium signal transducer that is overexpressed by a variety of human epithelial carcinomas; this antigen is involved in the regulation of cell-cell adhesion and its expression is associated with increased cancer growth, aggressiveness and metastasis.",
"C102787",-1,0,0,0,0,,11/8/2018 0:00:00,-1,0,"Other","GX-188E","GX-188E","HPV E6/E7 DNA Vaccine GX-188E","A therapeutic DNA vaccine encoding the E6/E7 fusion protein of human papillomavirus (HPV) subtypes 16 and 18, plus the immune-enhancer, Fms-like tyrosine kinase-3 ligand (FLT3L), with potential immunostimulating and antineoplastic activities. DNA vaccine GX-188E is administered using a proprietary delivery system that electroporates the vaccine into cervical cells. Expression of the E6/E7 fusion product may elicit a cytotoxic T-lymphocyte (CTL) response against cervical cancer cells expressing E6 and E7 oncoproteins, resulting in tumor cell lysis. FLT3L is a ligand for the FLT3 tyrosine kinase receptor, which upon activation stimulates the proliferation of hematopoietic progenitor cells. HPV type 16 and 18 are the most common HPV types involved in cervical carcinogenesis.","cytotoxic T-lymphocyte (CTL) response"
"C102789",-1,0,0,0,0,,11/9/2018 0:00:00,0,0,"Other","Inducible CD4+CD25+ Regulatory T Cells","Inducible CD4+CD25+ Regulatory T Cells","Inducible CD4+CD25+ Regulatory T Cells","Inducible regulatory T-lymphocytes that express CD4, CD25 (the alpha chain of the interleukin 2 receptor) and forkhead box P3 (FOXP3), with potential immunomodulating activity. Inducible CD4+CD25+ T regulatory cells (iTregs) are a subset of CD4+ T lymphocytes that are induced from CD25- precursors in peripheral lymphoid organs with interleukin-2 and transforming growth factor-beta. These regulatory T cells are essential in maintaining immunologic homeostasis. They may also prevent autoimmunity by suppressing self-reactive T cells, and may induce tolerance to allogeneic organ transplants such as in hematopoietic stem cell transplants.","Immunomodulator"
"C102849",-1,0,0,0,0,,11/8/2018 0:00:00,-1,0,"Other","CIGB-300","CIGB-300","CK2-targeting Synthetic Peptide CIGB-300","A synthetic peptide targeting the substrates of casein kinase 2 (CK2), with potential antineoplastic activity. Upon administration and nucleolar localization, CK2-targeting synthetic peptide CIGB-300 binds to phosphoacceptor sites on the CK2 substrates, in particular the oncoprotein nucleophosmin (B23 or NPM1). This blocks the activation of B23 and induces apoptosis, thereby inhibiting tumor cell growth in susceptible tumor cells. CK2, a protein kinase often overexpressed in a variety of cancer cell types, appears to be correlated with malignant transformation, tumor growth and survival. Overexpression of B23 has been correlated with increased cellular growth and proliferation as well as inhibition of differentiation and apoptosis.","Antagonist"
"C102851",-1,0,0,0,-1,"Existing unreviewed code",,-1,0,"Other","Ulinastatin","Ulinastatin","Ulinastatin","A multivalent Kunitz-type serine protease inhibitor derived from human urine, with potential protective, anti-fibrinolytic and anticoagulant activities. Upon administration, ulinastatin (or urinary trypsinogen inhibitor) inhibits the activities of a variety of enzymes, including trypsin, chymotrypsin, thrombin, kallikrein, plasmin, elastase, cathepsin, lipase, hyaluronidase, factors IXa, Xa, XIa, and XlIa, and polymorphonuclear leukocyte elastase. In addition, ulinastatin inhibits the excessive release of proinflammatory mediators, such as tumor necrosis factor-alpha, interleukin-6 and -8, and chemokines. Altogether, this agent may improve the microcirculation, perfusion and function of tissues and may protect organ injury.",
"C102852",-1,0,0,0,0,,3/5/2019 0:00:00,0,0,"Targeted Therapy","Fruquintinib","Fruquintinib",,"An orally available, small molecule inhibitor of vascular endothelial growth factor receptors (VEGFRs), with potential anti-angiogenic and antineoplastic activities. Upon oral administration, fruquintinib inhibits VEGF-induced phosphorylation of VEGFRs 1, 2, and 3 which may result in the inhibition of migration, proliferation and survival of endothelial cells, microvessel formation, the inhibition of tumor cell proliferation, and tumor cell death. Expression of VEGFRs may be upregulated in a variety of tumor cell types.",
"C102853",-1,0,0,0,0,,11/8/2018 0:00:00,-1,0,"Immunomodulatory Immunotherapy","IMC-TR1","IMC-TR1","Anti-TGF-beta RII Monoclonal Antibody IMC-TR1","A monoclonal antibody directed against transforming growth factor-beta receptor type II (TGF-beta RII) with potential antineoplastic activity. Anti-TGF-beta RII monoclonal antibody IMC-TR1 specifically targets and binds to TGF-beta R11, thereby preventing the activation of TGF-beta RII-mediated signaling pathways. TGF-beta RII is mutated in a number of cancer cell types and is involved in cancer cell proliferation and tumor progression.",
"C102876",-1,0,0,0,0,,11/9/2018 0:00:00,-1,0,"Targeted Therapy","Tirabrutinib","Tirabrutinib","Tirabrutinib","An orally available formulation containing an inhibitor of Bruton agammaglobulinemia tyrosine kinase (BTK), with potential antineoplastic activity. Upon administration, tirabrutinib covalently binds to BTK within B cells, thereby preventing B cell receptor signaling and impeding B cell development. As a result, this agent may inhibit the proliferation of B cell malignancies. BTK, a cytoplasmic tyrosine kinase and member of the Tec family of kinases, plays an important role in B lymphocyte development, activation, signaling, proliferation and survival.","Antagonist"
