"ConceptCode","Target_IDX","PreferredName","AnnotationDate","ActiveConcept_Flag","Skip_Flag","Bypass_Flag","LAM_Flag","HGNC_Symbol","GeneVariant"
"C104008",4,"Fimepinostat",11/8/2018 0:00:00,-1,0,0,0,"PIK3CG","wildtype"
"C104008",6,"Fimepinostat",11/8/2018 0:00:00,-1,0,0,0,"HDAC","wildtype"
"C104009",1,"MCPyV TAg-specific Polyclonal Autologous CD8-positive T Cells",11/8/2018 0:00:00,-1,0,0,0,,
"C104012",1,"Luspatercept",9/12/2017 0:00:00,-1,0,0,0,"TGFB1",
"C104012",2,"Luspatercept",9/12/2017 0:00:00,-1,0,0,0,"TGFB2",
"C104045",1,"MK-8353",11/8/2018 0:00:00,-1,0,0,0,"MAPK1","wildtype"
"C104045",2,"MK-8353",11/8/2018 0:00:00,-1,0,0,0,"MAPK3","wildtype"
"C104055",1,"Telapristone Acetate",10/16/2018 0:00:00,-1,0,0,0,"PR","wildtype"
"C104057",1,"Telapristone",10/16/2018 0:00:00,-1,0,0,0,"PR","wildtype"
"C104058",1,"RO5479599",10/16/2018 0:00:00,-1,0,0,0,"ERBB3","wildtype"
"C104260",1,"Imalumab",9/12/2017 0:00:00,-1,0,0,0,"MIF",
"C104267",1,"Derazantinib",11/8/2018 0:00:00,-1,0,0,0,"FGFR1","wildtype, FGFR Fusions"
"C104267",2,"Derazantinib",11/8/2018 0:00:00,-1,0,0,0,"FGFR2","wildtype, FGFR Fusions"
"C104267",3,"Derazantinib",11/8/2018 0:00:00,-1,0,0,0,"FGFR3","wildtype, FGFR Fusions"
"C104267",4,"Derazantinib",11/8/2018 0:00:00,-1,0,0,0,"FGFR4","wildtype, FGFR Fusions"
"C104267",5,"Derazantinib",11/8/2018 0:00:00,-1,0,0,0,"RET","wildtype"
"C104267",6,"Derazantinib",11/8/2018 0:00:00,-1,0,0,0,"KIT","wildtype"
"C104267",7,"Derazantinib",11/8/2018 0:00:00,-1,0,0,0,"ABL2","wildtype"
"C104267",8,"Derazantinib",11/8/2018 0:00:00,-1,0,0,0,"LCK","wildtype"
"C104267",9,"Derazantinib",11/8/2018 0:00:00,-1,0,0,0,"SRC","wildtype"
"C104267",10,"Derazantinib",11/8/2018 0:00:00,-1,0,0,0,"DDR2","wildtype"
"C104267",11,"Derazantinib",11/8/2018 0:00:00,-1,0,0,0,"PDGFRB","wildtype"
"C104267",12,"Derazantinib",11/8/2018 0:00:00,-1,0,0,0,"PDGFRA","wildtype"
"C104267",13,"Derazantinib",11/8/2018 0:00:00,-1,0,0,0,"FLT1","wildtype"
"C104267",14,"Derazantinib",11/8/2018 0:00:00,-1,0,0,0,"FLT3","wildtype"
"C104267",15,"Derazantinib",11/8/2018 0:00:00,-1,0,0,0,"KDR","wildtype"
"C104267",16,"Derazantinib",11/8/2018 0:00:00,-1,0,0,0,"ABL1","wildtype"
"C104280",1,"CGM097",9/27/2018 0:00:00,-1,0,0,0,"MDM2",
"C104413",1,"Umbralisib",10/16/2018 0:00:00,-1,0,0,0,"PIK3CD","wildtype"
"C104732",1,"Volitinib",11/8/2018 0:00:00,-1,0,0,0,"MET","wildtype"
"C104734",1,"WT1 235-243 Peptide Vaccine",10/16/2018 0:00:00,-1,0,0,0,"WT1","wildtype"
"C104737",1,"WT1 247-261 Peptide Vaccine",10/16/2018 0:00:00,-1,0,0,0,"WT1","wildtype"
"C104738",1,"WT1 124-138 Peptide Vaccine",10/16/2018 0:00:00,-1,0,0,0,"WT1","wildtype"
"C104744",1,"Ulixertinib",11/8/2018 0:00:00,-1,0,0,0,"MAPK3","wildtype"
"C104744",2,"Ulixertinib",11/8/2018 0:00:00,-1,0,0,0,"MAPK1","wildtype"
"C104745",1,"BBI503",11/8/2018 0:00:00,-1,0,0,0,"NANOG","wildtype"
"C104748",1,"Darolutamide",10/16/2018 0:00:00,-1,-1,0,0,"AR","wildtype"
"C105612",1,"Depatuxizumab",11/8/2018 0:00:00,-1,0,0,0,"EGFR","wildtype"
"C105614",1,"Autologous CD19CAR-CD28-CD3zeta-EGFRt-expressing Tcm-enriched T Cells",11/2/2018 0:00:00,-1,0,0,0,"CD19","wildtype"
"C105615",1,"Alectinib",10/16/2018 0:00:00,-1,0,0,0,"ALK","wildtype, ALK fusions, and ALK L1196M"
"C105615",2,"Alectinib",10/16/2018 0:00:00,-1,0,0,0,"RET","wildtype"
"C105802",1,"MRX34",10/16/2018 0:00:00,-1,0,0,0,"MYC","wildtype"
"C105802",2,"MRX34",10/16/2018 0:00:00,-1,0,0,0,"MET","wildtype"
"C105802",3,"MRX34",10/16/2018 0:00:00,-1,0,0,0,"BCL2","wildtype"
"C105802",4,"MRX34",10/16/2018 0:00:00,-1,0,0,0,"CCND1","wildtype"
"C105802",5,"MRX34",10/16/2018 0:00:00,-1,0,0,0,"CTNNB1","wildtype"
"C105803",1,"Andecaliximab",8/3/2017 0:00:00,-1,0,0,0,"MMP9",
"C105804",1,"PLX7486 Tosylate",10/30/2018 0:00:00,-1,0,0,0,"CSF1R","wildtype"
"C105804",2,"PLX7486 Tosylate",10/30/2018 0:00:00,-1,-1,0,0,"NTRK1","wildtype"
"C105804",3,"PLX7486 Tosylate",10/30/2018 0:00:00,-1,0,0,0,"NTRK2","wildtype"
"C105804",4,"PLX7486 Tosylate",10/30/2018 0:00:00,-1,0,0,0,"NTRK3","wildtype"
"C105851",1,"TG02 Citrate",9/27/2018 0:00:00,-1,0,0,0,"CDK1",
"C105851",2,"TG02 Citrate",9/27/2018 0:00:00,-1,0,0,0,"CDK2",
"C105851",3,"TG02 Citrate",9/27/2018 0:00:00,-1,0,0,0,"CDK7",
"C105851",4,"TG02 Citrate",9/27/2018 0:00:00,-1,0,0,0,"CDK9",
"C105851",5,"TG02 Citrate",9/27/2018 0:00:00,-1,0,0,0,"JAK2",
"C105851",6,"TG02 Citrate",9/27/2018 0:00:00,-1,0,0,0,"FLT3",
"C105851",7,"TG02 Citrate",9/27/2018 0:00:00,-1,0,0,0,"FLK2",
"C105851",8,"TG02 Citrate",9/27/2018 0:00:00,-1,0,0,0,"STK1",
"C105851",9,"TG02 Citrate",9/27/2018 0:00:00,-1,0,0,0,"TYK2",
"C105851",10,"TG02 Citrate",9/27/2018 0:00:00,-1,0,0,0,"TYRO3",
"C105851",11,"TG02 Citrate",9/27/2018 0:00:00,-1,0,0,0,"STAT5",
"C105851",12,"TG02 Citrate",9/27/2018 0:00:00,-1,0,0,0,"MAPK13",
"C105853",1,"Ralimetinib Mesylate",5/19/2017 0:00:00,-1,-1,0,0,"MAPK1",
"C105853",2,"Ralimetinib Mesylate",5/19/2017 0:00:00,-1,-1,0,0,"MAPK14",
"C1059",1,"Cyproterone Acetate",10/16/2018 0:00:00,-1,0,0,0,"AR","wildtype"
"C106116",1,"ARGX-110",10/30/2018 0:00:00,-1,0,0,0,"CD70","wildtype"
"C106117",1,"T1E28z CAR-expressing Autologous CD4-positive T Lymphocytes",11/2/2018 0:00:00,-1,0,0,0,"ERBB2","wildtype"
"C106118",1,"Xentuzumab",2/21/2019 0:00:00,-1,0,0,0,"IGF1R",
"C106120",1,"MI-773",9/27/2018 0:00:00,-1,0,0,0,"MDM2",
"C106123",1,"iC9-GD2-CD28-OX40-expressing T Lymphocytes",11/2/2018 0:00:00,-1,0,0,0,,
"C106126",1,"BI-847325",10/16/2018 0:00:00,-1,0,0,0,"MAP2K1","wildtype"
"C106126",2,"BI-847325",10/16/2018 0:00:00,-1,0,0,0,"MAP2K2","wildtype"
"C106126",3,"BI-847325",10/16/2018 0:00:00,-1,0,0,0,"AURKA","wildtype"
"C106126",4,"BI-847325",10/16/2018 0:00:00,-1,0,0,0,"AURKB","wildtype"
"C106126",5,"BI-847325",10/16/2018 0:00:00,-1,0,0,0,"AURKC","wildtype"
"C106230",1,"cMet CAR-mRNA Electroporated Autologous T Lymphocytes",11/2/2018 0:00:00,-1,0,0,0,,
"C106242",1,"Adenovector-transduced AP1903-inducible MyD88/CD40-expressing Autologous PSMA-specific Prostate Cancer Vaccine BPX-201",,-1,0,0,0,,
"C106250",1,"Atezolizumab",11/8/2018 0:00:00,-1,0,0,0,"CD274","wildtype"
"C106253",1,"LY2510924",6/20/2017 0:00:00,-1,0,0,0,"CXCR4",
"C106254",1,"TAK-580",11/8/2018 0:00:00,-1,0,0,0,"ARAF","wildtype"
"C106254",2,"TAK-580",11/8/2018 0:00:00,-1,0,0,0,"BRAF","wildtype"
"C106254",3,"TAK-580",11/8/2018 0:00:00,-1,0,0,0,"RAF1","wildtype"
"C106257",1,"OCV-501",10/16/2018 0:00:00,-1,0,0,0,"WT1","wildtype"
"C106261",1,"GSK2636771",11/8/2018 0:00:00,-1,0,0,0,"PIK3CB","wildtype"
"C106262",1,"ABT-700",9/27/2018 0:00:00,-1,0,0,0,"MET",
"C106266",1,"AMG 172",10/30/2018 0:00:00,-1,0,0,0,"CD70","wildtype"
"C106267",1,"Brachyury-expressing Yeast Vaccine GI-6301",,-1,0,0,0,,
"C106368",1,"S1P Receptor Agonist KRP203",,-1,0,0,0,,
"C106429",1,"PBTL CD19CAR-28/CD137/zeta",,-1,0,0,0,,
"C106430",1,"LB-100",9/27/2018 0:00:00,-1,0,0,0,"PTPA",
"C106432",1,"Pembrolizumab",11/8/2018 0:00:00,-1,0,0,0,"PDCD1","wildtype"
"C107169",1,"Allogeneic HLA-A2/4-1BB ligand-expressing Melanoma Vaccine",,-1,0,0,0,,
"C107190",1,"CD33CAR-CD3zeta-4-1BB-expressing Autologous T-Lymphocytes",,-1,0,0,0,,
"C107191",1,"EGFR CAR-CD3zeta-4-1BB-expressing Autologous T-Lymphocytes",,-1,0,0,0,,
"C107238",1,"VS-4718",10/16/2018 0:00:00,-1,0,0,0,"PTK2","wildtype"
"C107241",1,"GDC-0994",10/16/2018 0:00:00,-1,0,0,0,"MAPK3","wildtype"
"C107241",2,"GDC-0994",10/16/2018 0:00:00,-1,0,-1,0,"MAPK1","wildtype"
"C107242",1,"CD19CAR-CD28zeta-4-1BB-expressing Allogeneic T Lymphocytes",,-1,0,0,0,,
"C107245",1,"Agerafenib",9/28/2018 0:00:00,-1,0,0,0,"BRAF",
"C107384",1,"Milademetan Tosylate",10/16/2018 0:00:00,-1,0,0,0,"MDM2","wildtype"
"C107503",1,"ALT-803",6/20/2017 0:00:00,-1,0,0,0,"NK cells",
"C107503",2,"ALT-803",6/20/2017 0:00:00,-1,0,0,0,"IL15",
"C107503",3,"ALT-803",4/20/2018 0:00:00,-1,0,0,0,"CD8",
"C107505",1,"CD138CAR-CD137/TCRzeta-expressing T Lymphocytes",,-1,0,0,0,,
"C107506",1,"Tazemetostat",11/20/2017 0:00:00,-1,0,0,0,"EZH2",
"C107678",1,"Rovalpituzumab Tesirine",9/14/2017 0:00:00,-1,0,0,0,"DLL3",
"C107683",1,"BAY1179470",10/16/2018 0:00:00,-1,0,0,0,"FGFR2","wildtype"
"C107684",1,"AZD8186",5/8/2018 0:00:00,-1,0,0,0,"PIK3CB",
"C107686",1,"Dezapelisib",10/16/2018 0:00:00,-1,0,0,0,"PIK3CD","wildtype"
"C108174",1,"Imgatuzumab",9/28/2018 0:00:00,-1,0,0,0,"EGFR",
"C1083",1,"Staphylococcal Enterotoxin A",,-1,0,0,0,,
"C1084",1,"Staphylococcal Enterotoxin B",,-1,0,0,0,,
"C1093",1,"Etoposide Phosphate",2/21/2019 0:00:00,-1,0,0,0,,
"C1094",1,"Fludarabine",3/1/2018 0:00:00,-1,0,0,0,,
"C109599",1,"NC043",9/28/2018 0:00:00,-1,0,0,0,"CARF",
"C1097",1,"Exemestane",3/1/2018 0:00:00,-1,0,0,0,"aromatase",
"C1098",1,"Fenretinide",9/28/2018 0:00:00,-1,0,0,0,"RARA",
"C1102",1,"Fludarabine Phosphate",3/1/2018 0:00:00,-1,0,0,0,,
"C111037",1,"ISA101",6/20/2017 0:00:00,-1,0,0,0,"N/A",
"C111038",1,"Anti-VEGFR2-CAR Retroviral Vector-transduced Autologous T-lymphocytes",,-1,0,0,0,,
"C111041",1,"Anti-CD19-CAR FMC63-28Z Retroviral Vector-transduced Allogeneic T-lymphocytes",,-1,0,0,0,,
"C111042",1,"WP1066",10/16/2018 0:00:00,-1,0,0,0,"JAK2","wildtype, JAK V617F"
"C111042",2,"WP1066",10/16/2018 0:00:00,-1,0,0,0,"STAT3","wildtype"
"C111565",1,"Anti-EGFRvIII CAR-transduced Allogeneic T-lymphocytes",,-1,0,0,0,,
"C111573",1,"Enasidenib",10/16/2018 0:00:00,-1,0,0,0,"IDH2","DH2 R140Q, R172S, and R172K"
"C111574",1,"CV9202",3/1/2018 0:00:00,-1,0,0,0,,
"C111575",1,"BAY1125976",9/28/2018 0:00:00,-1,0,0,0,"AKT1",
"C111575",2,"BAY1125976",9/28/2018 0:00:00,-1,0,0,0,"AKT2",
"C111684",1,"Imisopasem Manganese",3/4/2019 0:00:00,-1,0,0,0,,
"C111685",1,"CEP-37440",10/16/2018 0:00:00,-1,0,0,0,"ALK","wildtype"
"C111685",2,"CEP-37440",10/16/2018 0:00:00,-1,0,0,0,"PTK2","wildtype"
"C111689",1,"HLA-A*0201 Restricted TERT(572Y)/TERT(572) Peptides Vaccine Vx-001",10/16/2018 0:00:00,-1,0,0,0,"TERT","TERT 572Y (YLFFYRKSV; TYR-Vx001) and TERT 572 (RLFFYRKSV; ARG-Vx001)"
"C111759",1,"Activated Marrow Infiltrating Lymphocytes",,-1,0,0,0,,
"C111764",1,"Selatinib Ditosilate",10/16/2018 0:00:00,-1,0,0,0,"EGFR","wildtype"
"C111764",2,"Selatinib Ditosilate",10/16/2018 0:00:00,-1,0,0,0,"ERBB2","wildtype"
"C111894",1,"Donor Regulatory T-lymphocytes",,-1,0,0,0,,
"C111895",1,"Pyrotinib",9/14/2018 0:00:00,-1,0,0,0,"EGFR",
"C111895",2,"Pyrotinib",9/14/2018 0:00:00,-1,0,0,0,"ERBB2",
"C111898",1,"Bimiralisib",3/4/2019 0:00:00,-1,0,0,0,"PIK3CA",
"C111898",2,"Bimiralisib",3/4/2019 0:00:00,-1,0,0,0,"mTOR",
"C1119",1,"Ondansetron",3/6/2019 0:00:00,-1,0,0,0,,
"C111906",1,"IMGN289",10/16/2018 0:00:00,-1,0,0,0,"EGFR","wildtype"
"C11197",1,"FOLFOX",10/1/2018 0:00:00,-1,0,0,0,,
"C111988",1,"Debio 1347",9/11/2018 0:00:00,-1,0,0,0,"FGFR1",
"C111988",2,"Debio 1347",9/11/2018 0:00:00,-1,0,0,0,"FGFR2",
"C111988",3,"Debio 1347",9/11/2018 0:00:00,-1,0,0,0,"FGFR3",
"C111990",1,"CFI-400945",9/28/2018 0:00:00,-1,0,0,0,"PLK4",
"C111993",1,"AZD6738",9/28/2018 0:00:00,-1,0,0,0,"ATR",
"C111997",1,"GSK2849330",10/16/2018 0:00:00,-1,0,0,0,"ERBB3","wildtype"
"C111999",1,"Relatlimab",10/25/2017 0:00:00,-1,0,0,0,"LAG3",
"C112000",1,"Oraxol",2/11/2019 0:00:00,-1,0,0,0,,
"C112001",1,"SGN-LIV1A",3/12/2018 0:00:00,-1,0,0,0,"SLC39A6",
"C112004",1,"MSC2363318A",9/28/2018 0:00:00,-1,0,0,0,"RPS6KB1",
"C112004",2,"MSC2363318A",9/28/2018 0:00:00,-1,0,0,0,"AKT1",
"C112179",1,"Anti-CD19-CAR-CD3zeta-4-1BB-Expressing Allogenic Natural Killer Cells",,-1,0,0,0,,
"C112205",1,"Rogaratinib",7/16/2018 0:00:00,-1,0,0,0,"FGFR1",
"C112205",2,"Rogaratinib",7/16/2018 0:00:00,-1,0,0,0,"FGFR2",
"C112205",3,"Rogaratinib",7/16/2018 0:00:00,-1,0,0,0,"FGFR3",
"C112205",4,"Rogaratinib",7/16/2018 0:00:00,-1,0,0,0,"FGFR4",
"C112207",1,"Bivalent HPV16/18 Therapeutic Cervical Cancer Vaccine",,-1,0,0,0,,
"C112497",1,"VS-5584",9/28/2018 0:00:00,-1,0,0,0,"PIK3CA",
"C112497",2,"VS-5584",9/28/2018 0:00:00,-1,0,-1,0,"PIK3CB",
"C112497",3,"VS-5584",9/28/2018 0:00:00,-1,0,0,0,"MTOR",
"C112497",4,"VS-5584",9/28/2018 0:00:00,-1,0,0,0,"PIK3CD",
"C112497",5,"VS-5584",9/28/2018 0:00:00,-1,0,0,0,"PIK3CG",
"C112498",1,"Extended Release Flucytosine",10/16/2018 0:00:00,-1,0,0,0,,
"C112500",1,"RO6870810",11/21/2017 0:00:00,-1,0,0,0,"BET",
"C1128",1,"Leflunomide",4/24/2019 0:00:00,-1,0,0,0,,
"C112882",1,"Anti-CD2 Monoclonal Antibody",,-1,0,0,0,,
"C112884",1,"Anti-CD4 Monoclonal Antibody",,-1,0,0,0,,
"C112888",1,"Anti-CD8 Monoclonal Antibody",,-1,0,0,0,,
"C113162",1,"TAK-659",6/22/2017 0:00:00,-1,0,0,0,"SYK",
"C113164",1,"Tisotumab Vedotin",1/22/2019 0:00:00,-1,0,0,0,,
"C113173",1,"Cerdulatinib",10/16/2018 0:00:00,-1,0,0,0,"SYK","wildtype"
"C113173",2,"Cerdulatinib",10/16/2018 0:00:00,-1,0,0,0,"JAK1","wildtype"
"C113173",3,"Cerdulatinib",10/16/2018 0:00:00,-1,0,0,0,"JAK3","wildtype"
"C1132",1,"IMREG-1",,-1,0,0,0,,
"C113295",1,"AM0010",3/13/2018 0:00:00,-1,0,0,0,"IL2",
"C113295",2,"AM0010",3/13/2018 0:00:00,-1,0,0,0,"IL3",
"C113295",3,"AM0010",3/13/2018 0:00:00,-1,0,0,0,"TNF",
"C113295",4,"AM0010",3/13/2018 0:00:00,-1,0,0,0,"GM-CSF",
"C113295",5,"AM0010",4/20/2018 0:00:00,-1,0,0,0,"CD8",
"C113330",1,"PLX8394",9/14/2018 0:00:00,-1,0,0,0,"BRAF",
"C113331",1,"DKN-01",12/12/2017 0:00:00,-1,0,0,0,"DKK1",
"C113332",1,"MEDI0680",10/30/2018 0:00:00,-1,0,0,0,"PDCD1","wildtype"
"C113333",1,"CDX-3379",8/21/2018 0:00:00,-1,0,0,0,"ERBB3",
"C113334",1,"GSK2816126",10/16/2018 0:00:00,-1,0,0,0,"EZH2","wildtype"
"C113432",1,"NY-ESO-1/GLA-SE Vaccine ID-G305",,-1,0,0,0,,
