drug_class,OmniDrugClass
IRAK4 Inhibitor,IRAK Inhibitor
JAK Inhibitor (Pan),JAK Inhibitor
JAK Inhibitor (Pan) - ATP competitive,JAK Inhibitor
JAK1 Inhibitor,JAK Inhibitor
JAK1 Inhibitor - ATP competitive,JAK Inhibitor
JAK2 Inhibitor,JAK Inhibitor
JAK2 Inhibitor - ATP competitive,JAK Inhibitor
JAK3 Inhibitor,JAK Inhibitor
JAK3 Inhibitor - ATP competitive,JAK Inhibitor
JNK Inhibitor,JNK Inhibitor
KDM1A Inhibitor,KDM Inhibitor
KDM4 Inhibitor,KDM Inhibitor
KIT Inhibitor,KIT Inhibitor
KRAS G12C inhibitor,RAS Inhibitor
KRAS Inhibitor,RAS Inhibitor
LAG3 Antibody,LAG Antibody
LYN Inhibitor,LYN Inhibitor
MCL1 Inhibitor,MCL Inhibitor
MDM2 Inhibitor,MDM Inhibitor
MDM4 inhibitor,MDM Inhibitor
MEK inhibitor (Pan),MEK Inhibitor
MEK1 Inhibitor,MEK Inhibitor
MEK2 Inhibitor,MEK Inhibitor
MEK4 Inhibitor,MEK Inhibitor
MEK4 Inhibitor(obsoleted),MEK Inhibitor
MEK5 Inhibitor,MEK Inhibitor
MEK5 Inhibitor(obsoleted),MEK Inhibitor
MERTK Antibody,MERTK Antibody
MERTK Inhibitor,MERTK Inhibitor
MET Antibody,MET Antibody
MET Immune Cell Therapy,MET Immunotherapy
MET Inhibitor,MET Inhibitor
MNK1 Inhibitor,MNK Inhibitor
MNK1/2 Inhibitor,MNK Inhibitor
MNK2 Inhibitor,MNK Inhibitor
MPS1 Inhibitor,MPS Inhibitor
mTOR Inhibitor,MTOR Inhibitor
mTORC1 Inhibitor,MTOR Inhibitor
mTORC2 Inhibitor,MTOR Inhibitor
MUC16 Targeted Therapy,MUC Targeted Therapy
MUC16-targeted immunotherapy,MUC Immunotherapy
NOTCH Inhibitor (Pan),NOTCH Inhibitor
NOTCH1 Antibody,NOTCH Antibody
NOTCH1 Inhibitor,NOTCH Inhibitor
NOTCH2 Antibody,NOTCH Antibody
NOTCH2 Inhibitor,NOTCH Inhibitor
NOTCH3 Antibody,NOTCH Antibody
NRAS Inhibitor,RAS Inhibitor
NRAS Inhibitor(obsoleted),RAS Inhibitor
OX40 Antibody,OX40 Antibody
p38 MAPK Inhibitor (Pan),p38 Inhibitor
p38-alpha Inhibitor,p38 Inhibitor
p53 Activator,p53 Activator
p53 Gene Therapy,p53 Gene Therapy
p53 Inhibitor,p53 Inhibitor
p53 Vaccine,p53 Vaccine
Pak-I Inhibitor,PAK Inhibitor
PARP Inhibitor (Pan),PARP Inhibitor
PARP-1 Inhibitor,PARP Inhibitor
PARP-2 Inhibitor,PARP Inhibitor
PD-L1/PD-1 antibody,PD-L1/PD-1 antibody
PDGFR Inhibitor (Pan),PDGFR Inhibitor
PDGFR-alpha Inhibitor,PDGFR Inhibitor
PDGFR-beta Inhibitor,PDGFR Inhibitor
PDGFRA Antibody,PDGFR Antibody
PDK-1 Inhibitor,PDPK Inhibitor
PDPK1 Inhibitor,PDPK Inhibitor
PI3K Inhibitor (Pan),PI3K Inhibitor
PIK3CA inhibitor,PI3K Inhibitor
PIK3CB inhibitor,PI3K Inhibitor
PIK3CD inhibitor,PI3K Inhibitor
PIK3CG inhibitor,PI3K Inhibitor
PIM Inhibitor (Pan),PIM Inhibitor
PIM1 Inhibitor,PIM Inhibitor
PIM3 Inhibitor,PIM Inhibitor
PKA Inhibitor,PK Inhibitor
PKC alpha Inhibitor,PK Inhibitor
PKC beta Inhibitor,PK Inhibitor
PKC Inhibitor (Pan),PK Inhibitor
PLK1 Inhibitor,PLK Inhibitor
PP2A Activator,PP2A Activator
PP2A Inhibitor,PP2A Inhibitor
PPM1D Inhibitor,PPM1D Inhibitor
RAD51 Inhibitor,RAD51 Inhibitor
RAF Inhibitor (Pan),RAF Inhibitor
RAS Inhibitor (Pan),RAS Inhibitor
RET Inhibitor,RET Inhibitor
RON Inhibitor,RON Inhibitor
ROS1 Inhibitor,ROS Inhibitor
S6 Kinase Inhibitor,S6 Kinase Inhibitor
SHP2 Inhibitor,SHP Inhibitor
SIRT1 Activator,SIRT Activator
SIRT1 Inhibitor,SIRT Inhibitor
SIRT2 Inhibitor,SIRT Inhibitor
SIRT3 Inhibitor,SIRT Inhibitor
SMAC Mimetic,SMAC Mimetic
SMO Inhibitor,SMO Inhibitor
SMYD3 Inhibitor,SMYD3 Inhibitor
SRC Inhibitor,SRC Inhibitor
STAT Inhibitor,STAT Inhibitor
STAT1 Inhibitor,STAT Inhibitor
STAT3 Inhibitor,STAT Inhibitor
STAT5 Inhibitor,STAT Inhibitor
SYK Inhibitor,SYK Inhibitor
Tankyrase Inhibitor,Tankyrase Inhibitor
TGFB (Pan) Antibody,TGFB Antibody
TGFB inhibitor,TGFB Inhibitor
TGFB targeted immunotherapy,TGFB Immunotherapy
TGFB2 Vaccine,TGFB Vaccine
TGFBR inhibitor (pan),TGFB inhibitor
TGFBR1 inhibitor,TGFB inhibitor
TGFBR2 Antibody,TGFB Antibody
TGFBR2 inhibitor,TGFB inhibitor
TIE2 Inhibitor,TIE Inhibitor
TIM-3 Antibody,TIM Antibody
TLR Antibody,TLR Antibody
TNK2 Inhibitor,TNK Inhibitor
TOPO Inhibitor (Pan),TOPO Inhibitor
TOPO1 inhibitor,TOPO Inhibitor
TOPO2 inhibitor,TOPO Inhibitor
Trk Receptor Inhibitor (Pan),TRK Inhibitor
TrkA Receptor Inhibitor,TRK Inhibitor
TYRO3 Inhibitor,TYRO Inhibitor
USP1 inhibitor,USP Inhibitor
VEGF Antibody,VEGF Antibody
VEGF-targeted immunotherapy,VEGF Immunotherapy
VEGFR Inhibitor (Pan),VEGF Inhibitor
VEGFR1 Inhibitor,VEGF Inhibitor
VEGFR2 Antibody,VEGF Antibody
VEGFR2 Immune Cell Therapy,VEGF Immunotherapy
VEGFR2 Inhibitor,VEGF Inhibitor
VEGFR3 Antibody,VEGF Antibody
VEGFR3 Inhibitor,VEGF Inhibitor
WEE1 Inhibitor,WEE Inhibitor
WNT Inhibitor,WNT Inhibitor
YAP Inhibitor,YAP Inhibitor
YES Inhibitor,YES Inhibitor
